Location Name,Host Name,Address,Phone Number,Web Site,Review Count
(405) Brewing Co,,"1716 Topeka St, Norman, OK",(405) 816-0490,www.405brewing.com,
(512) Brewing Co,,"407 Radam Ln Ste F200, Austin, TX",(512) 921-1545,www.512brewing.com,
10 Torr Distilling and Brewing,,"490 Mill St, Reno, NV",(775) 530-7014,www.10torr.com,
10-56 Brewing Company,,"2120 US-35, Knox, IN",(630) 816-5790,,
101 Brewery & Twana Roadhouse,,"294793 US Highway 101, Quilcene, WA",(360) 765-6485,www.101brewery.com,
1035 Brewing,,"1035 S Central Ave, Sidney, MT",,,
105 West Brewing Co,,"1043 Park St, Castle Rock, CO",(303) 325-7321,www.105westbrewing.com,
10K Brewing,,"2005 2nd Ave, Anoka, MN",(763) 392-4753,10KBrew.com,
10th District Brewing Company,,"748 Brockton Ave, Abington, MA",(781) 307-1554,www.10thdistrictbrewing.com,
11 Below Brewing Company,,"6820 Bourgeois Rd, Houston, TX",(281) 444-2337,www.11belowbrewing.com,
1188 Brewing Company,,"141 E Main St, John Day, OR",(541) 620-1357,www.1188brewing.com,
12 Bones Brewing,,"2350 Hendersonville Rd, Arden, NC",,www.12bonesbrewing.com,
12 Fox Beer Co,,"4700 W Fitzhugh Rd, Dripping Springs, TX",(512) 626-4458,www.12foxbeer.com,
12 Gates Brewing Company,,"80 Earhart Dr Ste 20, Williamsville, NY",(716) 906-6600,www.12gatesbrewing.com,
12 West Brewing Company,,"3000 E Ray Rd Bldg 6, Gilbert, AZ",(480) 204-6495,www.12westbrewing.com,
12 West Brewing Company - Production Facility,,"7733 E McDowell Rd, Mesa, AZ",,,
127 Brewing,,"3090 Shirley Dr, Jackson, MI",(517) 258-1346,,
12Degree Brewing,,"820 Main St, Louisville, CO",(303) 579-1004,www.12degree.com,
13 Below Brewery,,"7391 Forbes Rd, Cincinnati, OH",(513) 975-0613,www.13belowbrewery.com,
13 Point Brewing,,"8035 Broadway, Lemon Grove, CA",(619) 724-2445,www.13pointbrewing.com,
13 Stripes Brewery,,"250 Mill St, Suite PW3101, Taylors, SC",(864) 349-1430,www.13StripesBrewery.com,
13 Stripes Brewery - River Lodge,,"1307 Old Easley Hw, Easley, SC",(864) 349-1430,,
13 Virtues Brewing Co,,"6410 SE Milwaukie Ave, Portland, OR",(503) 239-3831,www.13virtuesbrewing.com,
13th Child Brewery,,"345 S Main St, Williamstown, NJ",(856) 669-7411,www.13thchildbrewery.com,
14 Cannons Brewing Company,,"31125 Via Colinas Ste 907, Westlake Village, CA",(818) 699-6165,14cannons.com,
14 Lakes Brewery,,"36846 County Hwy 66, Crosslake, MN",(218) 232-2178,14lakes.com,
1487 Brewery,,"7620 Industrial Parkway, Plain City, OH",(614) 536-1487,www.1487brewery.com,
14er Brewing Company,,"3120 Blake St, Denver, CO",(720) 773-1437,www.14erBrewing.com,
14th Star Brewing Co.,,"133 N Main St Ste 7, Saint Albans, VT",(802) 528-5988,www.14thstarbrewing.com,
15-24 Brew House,,"420 Lincoln Ave., Clay Center, KS",(913) 360-9927,,
16 Lots Brewing,,"753 Reading Rd, Mason, OH",(513) 486-3672,www.16lots.com,
16 Stone Brewpub,,"9542 Main St, Holland Patent, NY",(315) 865-8500,www.16stonebrewpub.com,
"1623 Brewing Company, LLC",,"5975 Exchange Drive, Eldersburg, MD",(410) 259-5505,www.1623brewing.com,
1700 Brewing,,"11838 Canon Blvd, Newport News, VA",757-782-5941,,
1717 Brewing Co,,"322 E Court Ave, Des Moines, IA",(515) 243-7868,www.1717brewing.com,
1718 Brewing-Ocracoke,,"PO Box 27, Ocracoke, NC",(252) 928-2337,www.ocracokebrewing.com,
1774 Brewing,,"2609 N Moore Ave, Moore, OK",,,
1781 Brewing Company,,"11109 Plank Rd, Spotsylvania, VA",(540) 841-2598,,
1787 Brewing Company,,"43 S Fourth St, Hamburg, PA",(484) 665-3032,www.1787brewingcompany.com,
1803 Brewery and Taproom,,"123 Harding Way East, Galion, OH",567-393-9394,,
1812 Brewery,,"13006 Mason Road, Cumberland, MD",(301) 876-1808,1812brewery.com,
1812 Brewing Company,,"981 Waterman Drive, Watertown, NY",(315) 788-1812,www.1812ale.com,
1817 Brewery,,"100 B South Olive St, okolona, MS",(662) 305-5907,,
1820 BrewWerks,,"105 W Main St, Kalida, OH",(567) 376-0991,www.1820brewwerks.com,
1840 Brewing Company,,"342 E Ward St, Milwaukee, WI",(414) 236-4056,www.1840brewing.com,
1849 Brewing Company,,"468 Sutton Way, Grass Valley, CA",(530) 477-1849,www.1849brewingco.com,
1850 Brewing Company,,"5176 G Highway 49N, Mariposa, CA",,www.1850brewingcompany.com,
1865 Brewing Company,,"9 S Mallory St, Hampton, VA",(757) 964-9571,www.1865brewingcompany.com,
1873 Brewing,,"415 Tom Hall St, Fort Mill, SC",,www.1873brewing.com,
1886 Brewing Company,,"114 N Glassell St, Orange, CA",(760) 889-1539,www.1886BrewingCo.com,
18Seventy Brewing Co.,,"911 J Street, Modesto, CA",(209) 603-0770,Www.18Seventybrew.com,
18th Street Brewery,,"5725 Miller Ave, Gary, IN",(219) 803-0820,www.18thstreetbrewery.com,
18th Street Brewery,,"5417 Oakley Ave, Hammond, IN",,,
18th Ward Brewing,,"300 Richardson Street, Brooklyn, NY",(718) 387-4025,/www.18thwardbrewing.com,
1905 Brewing Company,,"121 North Chestnut, Assumption, IL",(217) 992-2424,1905BrewingCompany.com,
1907 Brewing Company,,"103 West Main Street, Morristown, TN",(423) 616-0030,www.1907brewingcompany.com,
1912 Brewing,,"2045 N Forbes Blvd Ste 105, Tucson, AZ",(520) 256-4851,www.1912brewing.com,
192 Brewing,,"7324 NE 175th St, Kenmore, WA",(425) 424-2337,www.192brewing.com,
1927 Brew House,,"1 Walden Galleria, Buffalo, NY",(716) 634-6000,www.santoras.com,
1937 Brewing Company,,"777 Delaware Park Blvd, Wilmington, DE",(800) 417-5687,www.delawarepark.com/1937-brewing-company/,
1940's Brewing Company,,"1337 Lincoln Ave Unit 1, Holbrook, NY",631-533-4838,www.1940sbrewingcompany.com,
1ofUs Brewing Company,,"8100 Washington Ave, Mount Pleasant, WI",(262) 358-1456,www.1ofusbrewing.com,
1st Down Brewing Co.,,"106 E Court Avenue, Winterset, IA",(515) 321-2711,1st-down-brewing-co.spiritsale.com/?fbclid=IwAR2atPTFRy3xy1yfop3wh1RKJxmYH3tX8GJP1tj9HACbDq7jxYJKRMM2f1w,
1st Republic Brewing Co,,"39 River Rd Ste 6, Essex Junction, VT",(802) 857-5318,www.1strepublic-homebrew.com,
2 Basset Brewery,,"202 E Main St, White Sulphur Springs, MT",(406) 547-2337,www.2bassetbrewery.com,
2 Dogz and A Guy Brewing,,"33288 State Route 171, Susquehanna, PA",(570) 860-2012,2dogzandaguybrewing.com,
2 Doors Down Brewing,,"112 Warner Ct, Clinton, IL",217-570-0776,,
2 Doors Down Brewing Company,,"140 E Grand Ave, Wisconsin Rapids, WI",(715) 421-2827,,
2 Feet Brewing Company,,"80 Columbia St, Bangor, ME",207-573-1979  ,www.2feetbrewing.com,
2 Row Brewing,,"6856 S 300 W, Midvale, UT",(801) 987-8663,www.2rowbrewing.com,
2 Silos Brewing Company,,"9925 Discovery Blvd, Manassas, VA",(703) 420-2257,www.2silosbrewing.com,
2 Tones Brewing Co.,,"4539 E Broad St, Columbus, OH",(740) 412-0845,www.2tonesbrewingco.com,
2 Way Brewing Company,,"18 W Main St, Beacon, NY",(845) 202-7334,www.2waybrewingcompany.com,
2 Witches Winery and Brewing Company,,"209 Trade Street, Danville, VA",(434) 549-2739,www.2witcheswinebrew.com,
20 Corners Brewing LLC,,"14148 NE 190th St Ste A, Woodinville, WA",(425) 375-5223,www.20cornersbrewing.com,
210 Brewing Co,,"3438 Stoluckquamish Ln, Arlington, WA",(360) 572-3902,,
21st Amendment Brewery,,"2010 Williams St Unit A, San Leandro, CA",(510) 595-2111,www.21st-Amendment.com,
21st Amendment Brewery Cafe,,"563 2nd St, San Francisco, CA",(415) 369-0900,www.21st-amendment.com,
22 Northmen Brewing Company,,"6693 County Road 34 NW, Alexandria, MN",(320) 846-5443,www.22northmen.com,
23rd Street Brewery,,"3512 Clinton Pkwy, Lawrence, KS",(785) 856-2337,www.brew23.com,
25 O'Clock Brewing Company,,"208 W Griggs St, Urbana, IL",,www.25oclock.net,
256 North Restaurant,,"256 Petaluma Blvd N, Petaluma, CA",(707) 766-0799,https://256north.com,
26 Degree Brewing Company,,"2600 E Atlantic Blvd, Pompano Beach, FL",(954) 532-6964,,
27A Brewing Company,,"173 North Wellwood Avenue, Lindenhurst, NY",(631) 450-4156,https://www.instagram.com/27abrewing/,
28 Bridges Brewery,,"1597 Washington Pike, Bridgeville, PA",(814) 572-0367,,
2C Family Brewing Co.,,"1215 1st St S, Nampa, ID",(208) 995-4802,WWW.2CFAMILYBREWING.COM,
2SP Brewing Company,,"120 Concord Rd, Aston, PA",(484) 483-7860,www.2spbrewing.com,
2Toms Brewing Company,,"3676 N Wells St, Fort Wayne, IN",(260) 402-7644,www.2tomsbrewing.com,
2nd Bridge Brewing Co,,"642 Hilliard Street, Manchester, CT",(860) 978-4641,www.2ndbridgebrewing.com,
2nd Phase Brewing,,"1004 19th St, Bakersfield, CA",661-404-4278,www.2ndphasebrewing.com,
2nd Shift Brewing Co,,"1601 Sublette Ave, Saint Louis, MO",(618) 791-0728,www.2ndshiftbrewing.com,
2nd Story Brewing Company,,"117 Chestnut St Frnt, Philadelphia, PA",(267) 314-5770,www.2ndstorybrewing.com,
2x4 Brew Pub,,"20 Gala Drive, Asheville, NC",,,
3 Bridges Brewing,,"2107 Tamiami Trl S, Venice, FL",(941) 468-8100,,
3 Car Garage Brewing Co,,"8405 Heritage Green Way, Bradenton, FL",(941) 809-8694,www.3cargaragebrewing.com,
3 Daughters Brewing,,"381 Mandalay Ave, Clearwater Beach, FL",(727) 495-6002,,
3 Daughters Brewing,,"222 22nd St S, Saint Petersburg, FL",(727) 495-6002,www.3dbrewing.com,
3 Disciples Brewing,,"501 Mendocino Ave, Santa Rosa, CA",(707) 978-2459,www.3dbrews.com,
